City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,banda aceh,5.5577,95.3222,298.35,79,100,1.56,ID,1670015476
121,puerto gaitan,4.3133,-72.0816,303.3,56,63,5.84,CO,1670015292
122,general roca,-39.0333,-67.5833,307.38,10,16,5.65,AR,1670015476
123,ambulu,-8.345,113.6058,297.06,86,100,1.26,ID,1670015476
124,sampit,-2.5333,112.95,296.02,98,100,1.06,ID,1670015477
125,sobolevo,54.4299,31.8996,270.17,88,100,5.22,RU,1670015477
126,jamestown,42.097,-79.2353,280.12,45,100,7.2,US,1670015429
127,chokurdakh,70.6333,147.9167,251.88,95,100,9.57,RU,1670015478
128,kahului,20.8947,-156.47,300.35,71,40,8.75,US,1670015478
129,luanda,-8.8368,13.2343,299.15,83,75,2.57,AO,1670015478
130,fortuna,40.5982,-124.1573,283.67,64,0,4.12,US,1670015478
131,leningradskiy,69.3833,178.4167,261.81,93,100,1.95,RU,1670015478
132,torzhok,57.0436,34.9622,263.81,92,100,2.6,RU,1670015434
133,oliveira de azemeis,40.841,-8.4756,281.38,70,0,2.57,PT,1670015479
134,ahipara,-35.1667,173.1667,289.98,55,56,5.17,NZ,1670015479
135,port elizabeth,-33.918,25.5701,291.54,73,20,11.83,ZA,1670015479
136,ponazyrevo,58.3578,46.3142,257.0,97,62,1.54,RU,1670015479
137,carnarvon,-24.8667,113.6333,293.71,79,6,5.58,AU,1670015480
138,deputatskiy,69.3,139.9,246.9,88,100,11.03,RU,1670015480
139,mbaiki,3.8678,17.9892,296.01,82,97,0.39,CF,1670015480
140,port-cartier,50.0334,-66.8654,265.2,83,100,2.6,CA,1670015480
141,pombia,45.653,8.6336,279.9,91,75,1.54,IT,1670015480
142,guayaramerin,-10.8368,-65.3614,295.24,99,100,0.54,BO,1670015481
143,huadian,42.9633,126.7478,265.74,72,89,7.15,CN,1670015481
144,vila franca do campo,37.7167,-25.4333,285.48,63,28,9.7,PT,1670015481
145,tuktoyaktuk,69.4541,-133.0374,260.15,85,100,6.17,CA,1670015481
146,algiers,36.7525,3.042,288.05,51,75,2.06,DZ,1670015481
147,brownsville,25.9018,-97.4975,296.47,84,100,2.57,US,1670015482
148,grindavik,63.8424,-22.4338,277.41,100,40,2.06,IS,1670015482
149,itambe,-15.245,-40.6244,294.45,98,95,2.2,BR,1670015482
150,cherskiy,68.75,161.3,242.68,98,25,2.05,RU,1670015421
151,ribeira grande,38.5167,-28.7,287.47,51,40,5.36,PT,1670015482
